topology,run,seed,edges,mean_degree,degree_cv,transitivity,global_efficiency
ER,96,330,3204,64.08,0.0722815715453,0.646581127172,0.823636363636
WS,96,332,3200,64,0.049162914758,0.662495361093,0.823232323232
BA,97,334,2176,43.52,0.371681676073,0.522754388955,0.719797979798
ER,97,333,3164,63.28,0.0807359750227,0.640701959578,0.819595959596
WS,97,335,3200,64,0.052057285153,0.660280477851,0.823232323232
BA,98,337,2176,43.52,0.367596503877,0.519701860995,0.719797979798
ER,98,336,3167,63.34,0.0785344858307,0.640279259871,0.819898989899
WS,98,338,3200,64,0.0467184887116,0.658821957267,0.823232323232
BA,99,340,2176,43.52,0.36898710286,0.521984120208,0.719797979798
ER,99,339,3185,63.7,0.0734821333656,0.642760028885,0.821717171717
WS,99,341,3200,64,0.0416341018577,0.661142333688,0.823232323232
